,background,body,face,item,hair style
0,beach,pose3,break,fork,wasabi
1,pink,pose3,stare,none,mustard
2,bling,pose3,dissatisfaction,gold_watch,mustard
3,sky_blue,pose3,basic,fork,mayonnaise
4,sky_blue,pose3,basic,gold_watch,wasabi
5,mint,pose3,anger,gold_watch,soy_sauce
6,pink,pose3,dissatisfaction,phone,pasture
7,under_the_sea,pose3,laugh,none,soy_sauce
8,pink,pose3,basic,apple_watch,soy_sauce
9,mint,pose3,anger,fork,mayonnaise
10,under_the_sea,pose3,absurd,none,soy_sauce
11,under_the_sea,pose3,stare,fork,stick
12,sky_blue,pose3,absurd,none,ketchup
13,mint,pose3,break,phone,stick
14,bling,pose3,surprised,gold_watch,mustard
15,under_the_sea,pose3,glasses,fork,ketchup
16,pink,pose3,stare,gold_watch,soy_sauce
17,bling,pose3,sunglasses,phone,wasabi
18,sky_blue,pose3,sunglasses,phone,wasabi
19,mint,pose3,dissatisfaction,apple_watch,mustard
20,beach,pose3,break,fork,crown
21,bling,pose3,stare,gold_watch,mustard
22,mint,pose3,glasses,fork,stick
23,beach,pose3,glasses,fork,mayonnaise
24,bling,pose3,dissatisfaction,fork,mustard
25,sky_blue,pose3,surprised,none,pasture
26,pink,pose3,stare,gold_watch,stick
27,sky_blue,pose3,absurd,none,crown
28,mint,pose3,laugh,gold_watch,crown
29,sky_blue,pose3,sunglasses,none,crown
30,bling,pose3,break,none,mayonnaise
31,beach,pose3,absurd,gold_watch,mayonnaise
32,sky_blue,pose3,basic,none,pasture
33,under_the_sea,pose3,sunglasses,phone,soy_sauce
34,pink,pose3,glasses,apple_watch,stick
35,sky_blue,pose3,sunglasses,gold_watch,pasture
36,sky_blue,pose3,break,none,wasabi
37,mint,pose3,glasses,gold_watch,crown
38,beach,pose3,stare,fork,ketchup
39,mint,pose3,basic,phone,mustard
40,sky_blue,pose3,sunglasses,apple_watch,mayonnaise
41,bling,pose3,absurd,apple_watch,crown
42,sky_blue,pose3,break,phone,mayonnaise
43,mint,pose3,laugh,phone,stick
44,sky_blue,pose3,glasses,fork,mayonnaise
45,mint,pose3,absurd,apple_watch,ketchup
46,beach,pose3,absurd,gold_watch,mustard
47,bling,pose3,anger,fork,mustard
48,sky_blue,pose3,glasses,phone,mustard
49,mint,pose3,sunglasses,fork,soy_sauce
50,beach,pose3,basic,apple_watch,mustard
51,under_the_sea,pose3,dissatisfaction,phone,pasture
52,under_the_sea,pose3,anger,fork,soy_sauce
53,sky_blue,pose3,basic,apple_watch,mayonnaise
54,beach,pose3,stare,none,soy_sauce
55,pink,pose3,absurd,phone,stick
